complaint_id,complaint_text,category,issue_subtype,duplicate_group_id,location,priority,status,reported_by_role,date_reported
1,"Room smells damp, there's visible moisture near the room.",Structural,seepage/dampness,1016,Room A132,Low,In Progress,Staff,2026-07-23
2,There's no power supply at all in Hostel 1 common washroom.,Electrical,no electricity,1005,Room B108,High,In Progress,Student,2024-12-20
3,The bed frame in Room C133 is creaking and unstable.,Furniture,bed/desk damaged,1012,Room C102,Medium,Resolved,Student,2024-05-14
4,Construction noise near Room B110 is disturbing classes/sleep.,Noise/Nuisance,noise disturbance,1021,Room D138,High,In Progress,Student,2025-12-04
5,"The chair in Room E102 is broken, one leg is cracked.",Furniture,chair broken,1011,Block C Floor 4 corridor,High,Open,Student,2024-06-14
6,There's a pipe leaking under the wardrobe in Room A142.,Plumbing,pipe leakage,1010,Room A123,Medium,Open,Student,2024-03-12
7,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room A132,Medium,Resolved,Warden,2024-10-14
8,Ceiling in Room B123 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room A142,Medium,In Progress,Student,2024-03-12
9,"Toilet flush isn't working properly in Room D112, backing up.",Plumbing,toilet clogged,1009,Block A Floor 1 corridor,Medium,In Progress,Student,2024-03-20
10,Connection near the switchboard keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room D132,Low,Resolved,Student,2024-05-21
11,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room A134,Medium,In Progress,Student,2026-05-05
12,"Room smells damp, there's visible moisture near the corner.",Structural,seepage/dampness,1016,Room A103,Low,Open,Staff,2025-06-11
13,The ceiling light keeps going dim then bright in my room.,Electrical,light flickering,1004,Room C122,Medium,Open,Student,2026-01-18
14,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room E137,Medium,In Progress,Student,2026-03-14
15,Water is seeping through the wall near the bathroom pipe.,Plumbing,pipe leakage,1010,Room D108,Low,Resolved,Student,2025-04-25
16,Internet keeps disconnecting every few minutes in Room C143.,Internet/WiFi,wifi not working,1017,Room E144,Medium,Resolved,Staff,2025-02-07
17,Trash hasn't been collected from Room D105 for days.,Cleaning/Sanitation,room not cleaned,1019,Room A123,Low,Open,Student,2025-04-24
18,"Fan in Room B139 is really noisy, sounds like a old motor.",HVAC/Fan,fan making noise,1000,Room C120,Low,Resolved,Student,2026-07-17
19,Corridor near the wall-mounted is full of dust and garbage.,Cleaning/Sanitation,room not cleaned,1019,Room A142,Low,In Progress,Student,2024-05-20
